"","PC.name","State.name","Candidate.Name","Candidate.Sex","Candidate.Category","Candidate.Age","Party.Abbreviation","Total.Votes.Polled","Position","Total.voters","Total_Electors","TOT_CONTESTANT","POLL.PERCENTAGE","Total.Persons","Total.HinduPersons","Total.Muslim.Persons","Sex Ratio (per 1000)","Average Literacy","INCUMBENT_PARTY"
"697","Tirunelveli","Tamil Nadu","JEYABALAN N","M","GEN",56,"IND",6079,5,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"698","Tirunelveli","Tamil Nadu","RAMESH PANDIAN","M","SC",33,"BSP",4305,6,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"699","Tirunelveli","Tamil Nadu","SUDAROLI MURUGAN S.","M","GEN",33,"IND",4028,7,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"700","Tirunelveli","Tamil Nadu","RAMASUBBU E","M","GEN",49,"IND",3804,8,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"701","Tirunelveli","Tamil Nadu","SANKARAPANDIAN T","M","GEN",54,"CPI(ML)(L)",3339,9,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"702","Tirunelveli","Tamil Nadu","VEIULUMUTHUKUMAR","M","GEN",27,"IND",2231,10,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"703","Tirunelveli","Tamil Nadu","THIRUVENGATAM A","M","GEN",59,"IND",1742,11,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"704","Tirunelveli","Tamil Nadu","SELWIN D","M","GEN",65,"IND",1736,12,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"705","Tirunelveli","Tamil Nadu","CHANDRASEKARAN SAKTHI","M","GEN",60,"IND",1586,13,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"706","Tirunelveli","Tamil Nadu","BALASUBRAMANIAN S","M","GEN",38,"IND",1574,14,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"707","Tirunelveli","Tamil Nadu","SYED IMMAM S","M","GEN",44,"SP",1504,15,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"708","Tirunelveli","Tamil Nadu","VELMATHI (TMT) N","F","SC",36,"LJP",1205,16,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"709","Tirunelveli","Tamil Nadu","ANANDARAJ N","M","SC",36,"IND",1197,17,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"710","Tirunelveli","Tamil Nadu","ARUNACHALAM M","M","GEN",57,"IND",912,18,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"711","Tirunelveli","Tamil Nadu","THENKALAM RAJA M","M","SC",34,"IND",889,19,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"712","Tirunelveli","Tamil Nadu","RAMALINGAM M","M","GEN",55,"IND",834,20,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"713","Tirunelveli","Tamil Nadu","KUBENDRAN I","M","GEN",43,"IND",703,21,701132,1059687,21,66.16406543,3077233,2425630,303368,"1023","82.5%","INC"
"714","Tiruppur","Tamil Nadu","SIVASAMI C","M","GEN",51,"ADMK",295731,1,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"715","Tiruppur","Tamil Nadu","KHARVENTHAN S K","M","GEN",60,"INC",210385,2,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"716","Tiruppur","Tamil Nadu","BALASUBRAMANIAN K","M","GEN",61,"KNMK",95299,3,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"717","Tiruppur","Tamil Nadu","DINESH KUMAR N","M","GEN",30,"DMDK",86933,4,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"718","Tiruppur","Tamil Nadu","SIVAKUMAR M","M","GEN",31,"BJP",11466,5,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"719","Tiruppur","Tamil Nadu","PANDIAN R ALAIS KALAIMAGAL PANDIAN","M","GEN",39,"IND",10356,6,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"720","Tiruppur","Tamil Nadu","MOHAMED SALIKA A","M","GEN",56,"IND",4053,7,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
"721","Tiruppur","Tamil Nadu","SIVAKUMAR N","M","GEN",30,"UMK",3852,8,742012,993758,21,74.66727312,2479052,2278835,123983,"989","78.68%","INC"
