,PC.name,State.name,Candidate.Name,Candidate.Sex,Candidate.Category,Candidate.Age,Party.Abbreviation,Total.Votes.Polled,Position,Total.voters,Total_Electors,TOT_CONTESTANT,POLL.PERCENTAGE,Total.Persons,Total.HinduPersons,Total.Muslim.Persons,Sex.Ratio..per.1000.,Average.Literacy,Incumbency,Education,Total.Assets,Women,Winner,Criminal.Case,SeriousCrime
91,Azamgarh,Uttar Pradesh,ARUN KUMAR SINGH,M,GEN,63,CPM,7088,7,705002,1578854,16,44.65276713,4613913,3878626,718692,1019,70.93,0,Graduate Professional,3855174,0,0,0,0
92,Azamgarh,Uttar Pradesh,VINOD,M,GEN,33,JPS,4168,9,705002,1578854,16,44.65276713,4613913,3878626,718692,1019,70.93,0,10th Pass,30000,0,0,0,0
93,Azamgarh,Uttar Pradesh,JAI JAI RAM PRAJAPATI,M,GEN,36,LPSP,3825,10,705002,1578854,16,44.65276713,4613913,3878626,718692,1019,70.93,0,Graduate Professional,44548,0,0,0,0
94,Azamgarh,Uttar Pradesh,RAM BHAROS,M,GEN,34,BUM,2988,12,705002,1578854,16,44.65276713,4613913,3878626,718692,1019,70.93,0,Not Given,700000,0,0,0,0
95,Badaun,Uttar Pradesh,DHARMENDRA YADAV,M,GEN,30,SP,233744,1,737308,1405695,10,52.45149197,3681896,2867707,790515,871,51.29,0,Post Graduate,5682299,0,1,0,0
96,Badaun,Uttar Pradesh,DHARAM YADAV URF D. P. YADAV,M,GEN,56,BSP,201202,2,737308,1405695,10,52.45149197,3681896,2867707,790515,871,51.29,0,Graduate,204411586,0,0,4,1
98,Badaun,Uttar Pradesh,D. K. BHARDWAJ,M,GEN,51,JD(U),74079,4,737308,1405695,10,52.45149197,3681896,2867707,790515,871,51.29,0,Post Graduate,56843000,0,0,0,0
99,Badaun,Uttar Pradesh,AJEET SINGH YADAV,M,GEN,33,PDFO,4339,7,737308,1405695,10,52.45149197,3681896,2867707,790515,871,51.29,0,Post Graduate,55000,0,0,1,0
100,Badaun,Uttar Pradesh,BRIJ PAL SINGH SHAKYA,M,GEN,46,RSMD,2223,9,737308,1405695,10,52.45149197,3681896,2867707,790515,871,51.29,0,Graduate Professional,4004000,0,0,0,0
101,Badaun,Uttar Pradesh,JAVITRI DEVI,F,SC,38,IJP,1572,10,737308,1405695,10,52.45149197,3681896,2867707,790515,871,51.29,0,Literate,1230000,1,0,0,0
102,Baghpat,Uttar Pradesh,AJIT SINGH,M,GEN,70,RLD,238638,1,613847,1280602,16,47.9342528,1303048,917474,364583,861,72.01,1,Post Graduate,58232462,0,1,0,0
103,Baghpat,Uttar Pradesh,MUKESH SHARMA,M,GEN,28,BSP,175611,2,613847,1280602,16,47.9342528,1303048,917474,364583,861,72.01,0,12th Pass,61176716,0,0,5,1
104,Baghpat,Uttar Pradesh,SOMPAL,M,GEN,71,INC,136964,3,613847,1280602,16,47.9342528,1303048,917474,364583,861,72.01,0,Post Graduate,31233551,0,0,0,0
